year,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape_final
1979,TOTAL,220099000,1208030,21460,480700,629480,11041500,3327700,6601000,1112800,22839.760295124062
1979,Alaska,406000,1994,54,445,1203,23193,5616,15076,2501,132.3355339805825
1979,Alabama,3769000,15578,496,4127,9918,144372,48517,83791,12064,313.9444497763787
1979,Arkansas,2180000,7984,198,1626,5565,70949,21457,45267,4225,262.0164723301869
1979,Arizona,2450000,14528,219,4305,8884,177977,48916,116976,12085,465.67204632253294
1979,California,22696000,184087,2952,75767,93129,1511021,496310,847148,167563,3267.0932889492665
1979,Colorado,2772000,14472,161,4353,8486,180984,49741,117898,13345,632.8982389788441
1979,Connecticut,3115000,12902,131,6021,5998,167131,48229,96997,21905,172.6424438454627
1979,District of Columbia,656000,10553,180,6920,2964,45877,13452,28819,3606,162.16812710640346
1979,Delaware,582000,3127,33,753,2179,34853,8890,23081,2882,30.71813708503708
1979,Florida,8860000,73881,1084,22097,46124,607281,190884,378099,38298,1194.8579207395942
1979,Georgia,5118000,28594,877,10939,14562,248641,81579,145758,21304,596.9633645762452
1979,Hawaii,915000,2651,66,1688,601,63664,16538,40580,6546,100.76917463329198
1979,Iowa,2903000,5259,65,1457,3417,119620,26768,85023,7829,127.04308225526943
1979,Idaho,905000,2613,49,392,1986,35766,9729,23577,2460,79.77890494719288
1979,Illinois,11230000,83540,1203,36056,42579,593750,161776,356062,75912,1027.3663331325142
1979,Indiana,5400000,18254,448,7167,8958,230223,63176,143666,23381,480.2358766065314
1979,Kansas,2369000,8376,130,2423,5197,107605,31504,69622,6479,198.7861146362098
1979,Kentucky,3527000,8748,335,3247,4447,103548,32082,62431,9035,226.02278086972927
1979,Louisiana,4026000,27229,682,8832,16161,188514,56237,115856,16421,391.20625428060737
1979,Massachusetts,5769000,30650,212,11724,17286,310756,92570,152135,66051,378.83150021997363
1979,Maryland,4149000,33007,406,13740,17225,228159,62630,145297,20232,387.82286618369557
1979,Maine,1097000,2221,31,349,1710,45030,12592,29828,2610,46.63486376920901
1979,Michigan,9208000,56558,834,20218,31406,509457,138806,315211,55440,1111.787415563625
1979,Minnesota,4060000,8973,93,3754,4255,169376,45183,110827,13366,237.32350792443827
1979,Missouri,4868000,25662,543,10267,13214,214809,70423,124398,19988,577.7070954211814
1979,Mississippi,2406000,7786,302,1702,5259,63447,23428,36006,4013,115.63464779238288
1979,Montana,786000,1762,33,260,1307,33298,6314,24537,2447,79.20601755119098
